video_id,start,end,label
case_2457,14640,14704,0
case_2457,14688,14752,0
case_2457,14736,14800,0
case_2457,14784,14848,0
case_2457,14832,14896,0
case_2457,14880,14944,0
case_2457,14928,14992,0
case_2457,14976,15040,0
case_2457,15024,15088,0
case_2457,15072,15136,0
case_2457,15120,15184,0
case_2457,15168,15232,0
case_2457,15216,15280,0
case_2457,15264,15328,0
case_2457,15312,15376,0
case_2457,15360,15424,0
case_2457,15408,15472,0
case_2457,15456,15520,0
case_2457,15504,15568,0
case_2457,15552,15616,0
case_2457,15600,15664,0
case_2457,15648,15712,0
case_2457,15696,15760,0
case_2457,15744,15808,0
case_2457,15792,15856,0
case_2457,15840,15904,0
case_2457,15888,15952,0
case_2457,15936,16000,0
case_2457,15984,16048,0
case_2457,16032,16096,0
case_2457,16080,16144,0
case_2457,16128,16192,0
case_2457,16176,16240,0
case_2457,16224,16288,0
case_2457,16272,16336,0
case_2457,16320,16384,0
case_2457,16368,16432,0
case_2457,16416,16480,0
case_2457,16464,16528,0
case_2457,16512,16576,0
case_2457,16560,16624,0
case_2457,16608,16672,0
case_2457,16656,16720,0
case_2457,16704,16768,0
case_2457,16752,16816,0
case_2457,16800,16864,0
case_2457,16848,16912,0
case_2457,16896,16960,0
case_2457,16944,17008,0
case_2457,16992,17056,0
case_2457,17040,17104,0
case_2457,17088,17152,0
case_2457,17136,17200,0
case_2457,17184,17248,0
case_2457,17232,17296,0
case_2457,17280,17344,0
case_2457,17328,17392,0
case_2457,17376,17440,0
case_2457,17424,17488,0
case_2457,17472,17536,0
case_2457,17520,17584,0
case_2457,17568,17632,0
case_2457,17616,17680,0
case_2457,17664,17728,0
case_2457,17712,17776,0
case_2457,17760,17824,0
case_2457,17808,17872,0
case_2457,17856,17920,0
case_2457,17904,17968,0
case_2457,17952,18016,0
case_2457,18000,18064,0
case_2457,18048,18112,0
case_2457,18096,18160,0
case_2457,18144,18208,0
case_2457,18192,18256,0
case_2457,18240,18304,0
case_2457,18288,18352,0
case_2457,18336,18400,0
case_2457,18384,18448,0
case_2457,18432,18496,0
case_2457,18480,18544,0
case_2457,18528,18592,0
case_2457,18576,18640,0
case_2457,18624,18688,0
case_2457,18672,18736,0
case_2457,18720,18784,0
case_2457,18768,18832,0
case_2457,18816,18880,0
case_2457,18864,18928,0
case_2457,18912,18976,0
case_2457,18960,19024,0
case_2457,19008,19072,0
case_2457,19056,19120,0
case_2457,19104,19168,0
case_2457,19152,19216,0
case_2457,19200,19264,0
case_2457,19248,19312,0
case_2457,19296,19360,0
case_2457,19344,19408,0
case_2457,19392,19456,0
case_2167,16380,16444,0
case_2167,16428,16492,0
case_2167,16476,16540,0
case_2167,16524,16588,0
case_2167,16572,16636,0
case_2167,16620,16684,0
case_2167,16668,16732,0
case_2167,16716,16780,0
case_2167,16764,16828,0
case_2167,16812,16876,0
case_2167,16860,16924,0
case_2167,16908,16972,0
case_2167,16956,17020,0
case_2167,17004,17068,0
case_2167,17052,17116,0
case_2167,17100,17164,0
case_2167,17148,17212,0
case_2167,17196,17260,0
case_2167,17244,17308,0
case_2167,17292,17356,0
case_2167,17340,17404,0
case_2167,17388,17452,0
case_2167,17436,17500,0
case_2167,17484,17548,0
case_2167,17532,17596,0
case_2167,17580,17644,0
case_2167,17628,17692,0
case_2167,17676,17740,0
case_2167,17724,17788,0
case_2167,17772,17836,0
case_2167,17820,17884,0
case_2167,17868,17932,0
case_2167,17916,17980,0
case_2167,17964,18028,0
case_2167,18012,18076,0
case_2167,18060,18124,0
case_2167,18108,18172,0
case_2167,18156,18220,0
case_2167,18204,18268,0
case_2167,18252,18316,0
case_2167,18300,18364,0
case_2167,18348,18412,0
case_2167,18396,18460,0
case_2167,18444,18508,0
case_2055,16253,16317,0
case_2055,16301,16365,0
case_2055,16349,16413,0
case_2055,16397,16461,0
case_2055,16445,16509,0
case_2055,16493,16557,0
case_2055,16541,16605,0
case_2055,16589,16653,0
case_2055,16637,16701,0
case_2055,16685,16749,0
case_2055,16733,16797,0
case_2055,16781,16845,0
case_2055,16829,16893,0
case_2055,16877,16941,0
case_2055,16925,16989,0
case_2055,16973,17037,0
case_2055,17021,17085,0
case_2055,17069,17133,0
case_2055,17117,17181,0
case_2055,17165,17229,0
case_2055,17213,17277,0
case_2055,17261,17325,0
case_2055,17309,17373,0
